location,datetime,tempmax,humidity,solarradiation
colombo,2016-09-25,28.7,77.0,785.0
colombo,2016-09-26,28.8,81.0,822.0
colombo,2016-09-27,28.9,80.0,743.0
colombo,2016-09-28,28.9,74.0,722.0
colombo,2016-09-29,28.5,80.0,709.0
colombo,2016-09-30,28.6,81.0,744.0
colombo,2016-10-01,28.9,79.0,773.0
colombo,2016-10-02,28.8,71.0,736.0
colombo,2016-10-03,28.7,80.0,756.0
colombo,2016-10-04,29.3,79.0,840.0
colombo,2016-10-05,29.2,76.0,758.0
colombo,2016-10-06,29.6,75.0,794.0
colombo,2016-10-07,29.1,66.0,906.0
colombo,2016-10-08,29.6,61.0,799.0
colombo,2016-10-09,29.2,76.0,729.0
colombo,2016-10-10,29.4,71.0,692.0
colombo,2016-10-11,29.7,65.0,876.0
colombo,2016-10-12,30.1,61.0,807.0
colombo,2016-10-13,30.1,61.0,777.0
colombo,2016-10-14,30.0,66.0,775.0
colombo,2016-10-15,29.8,75.0,826.0
colombo,2016-10-16,29.8,78.0,873.0
colombo,2016-10-17,29.9,77.0,853.0
colombo,2016-10-18,30.3,71.0,824.0
colombo,2016-10-19,29.3,81.0,729.0
colombo,2016-10-20,29.4,68.0,706.0
colombo,2016-10-21,29.3,68.0,804.0
colombo,2016-10-22,28.9,75.0,621.0
colombo,2016-10-23,28.2,77.0,414.0
colombo,2016-10-24,27.9,77.0,701.0
colombo,2016-10-25,28.8,80.0,624.0
colombo,2016-10-26,29.7,71.0,843.0
colombo,2016-10-27,29.3,79.0,828.0
colombo,2016-10-28,29.6,69.0,725.0
colombo,2016-10-29,29.0,79.0,601.0
colombo,2016-10-30,28.6,80.0,698.0
colombo,2016-10-31,28.7,82.0,804.0
colombo,2016-11-01,28.7,77.0,593.0
colombo,2016-11-02,28.7,72.0,726.0
colombo,2016-11-03,28.4,78.0,634.0
colombo,2016-11-04,27.3,82.0,603.0
colombo,2016-11-05,28.7,81.0,603.0
colombo,2016-11-06,28.6,84.0,697.0
colombo,2016-11-07,29.8,71.0,782.0
colombo,2016-11-08,29.6,72.0,783.0
colombo,2016-11-09,29.8,70.0,824.0
colombo,2016-11-10,30.1,63.0,789.0
colombo,2016-11-11,30.0,70.0,751.0
colombo,2016-11-12,29.2,78.0,483.0
colombo,2016-11-13,28.8,83.0,707.0
colombo,2016-11-14,29.8,75.0,693.0
colombo,2016-11-15,29.5,79.0,734.0
colombo,2016-11-16,30.1,68.0,716.0
colombo,2016-11-17,29.2,74.0,675.0
colombo,2016-11-18,30.4,69.0,659.0
colombo,2016-11-19,27.3,79.0,309.0
colombo,2016-11-20,28.5,82.0,687.0
colombo,2016-11-21,28.2,78.0,611.0
colombo,2016-11-22,29.4,76.0,705.0
colombo,2016-11-23,30.0,75.0,672.0
colombo,2016-11-24,29.9,67.0,779.0
colombo,2016-11-25,31.0,58.0,631.0
colombo,2016-11-26,29.2,65.0,614.0
colombo,2016-11-27,30.0,60.0,748.0
colombo,2016-11-28,28.7,68.0,749.0
colombo,2016-11-29,27.3,64.0,602.0
colombo,2016-11-30,27.0,65.0,482.0
colombo,2016-12-01,27.3,70.0,698.0
colombo,2016-12-02,29.2,65.0,778.0
colombo,2016-12-03,29.8,62.0,767.0
colombo,2016-12-04,30.1,66.0,683.0
colombo,2016-12-05,31.2,54.0,756.0
colombo,2016-12-06,30.9,52.0,770.0
colombo,2016-12-07,30.8,55.0,534.0
colombo,2016-12-08,29.4,67.0,703.0
colombo,2016-12-09,28.1,82.0,749.0
colombo,2016-12-10,29.1,74.0,744.0
colombo,2016-12-11,29.2,69.0,764.0
colombo,2016-12-12,28.8,67.0,723.0
colombo,2016-12-13,28.5,70.0,660.0
colombo,2016-12-14,29.1,66.0,781.0
colombo,2016-12-15,30.1,55.0,828.0
colombo,2016-12-16,30.5,59.0,779.0
colombo,2016-12-17,30.6,59.0,689.0
colombo,2016-12-18,31.1,52.0,666.0
colombo,2016-12-19,28.6,62.0,692.0
colombo,2016-12-20,30.0,68.0,559.0
colombo,2016-12-21,29.7,68.0,575.0
colombo,2016-12-22,30.7,56.0,625.0
colombo,2016-12-23,29.9,46.0,900.0
colombo,2016-12-24,29.5,38.0,918.0
colombo,2016-12-25,29.3,40.0,907.0
colombo,2016-12-26,30.6,50.0,719.0
colombo,2016-12-27,30.6,64.0,547.0
colombo,2016-12-28,30.6,66.0,706.0
colombo,2016-12-29,30.6,63.0,512.0
colombo,2016-12-30,31.3,52.0,742.0
colombo,2016-12-31,31.4,48.0,589.0
colombo,2017-01-01,30.9,62.0,790.0
colombo,2017-01-02,30.5,58.0,882.0
colombo,2017-01-03,30.9,56.0,859.0
colombo,2017-01-04,28.7,67.0,912.0
colombo,2017-01-05,30.0,48.0,933.0
colombo,2017-01-06,30.0,47.0,913.0
colombo,2017-01-07,30.9,35.0,939.0
colombo,2017-01-08,31.2,31.0,846.0
colombo,2017-01-09,29.2,44.0,948.0
colombo,2017-01-10,28.5,62.0,871.0
colombo,2017-01-11,29.0,62.0,868.0
colombo,2017-01-12,28.4,59.0,913.0
colombo,2017-01-13,30.2,46.0,870.0
colombo,2017-01-14,29.4,57.0,907.0
colombo,2017-01-15,31.5,43.0,929.0
colombo,2017-01-16,32.3,41.0,909.0
colombo,2017-01-17,31.1,33.0,946.0
colombo,2017-01-18,31.8,36.0,927.0
colombo,2017-01-19,32.5,40.0,869.0
colombo,2017-01-20,30.7,56.0,794.0
colombo,2017-01-21,29.8,69.0,718.0
colombo,2017-01-22,29.5,71.0,655.0
colombo,2017-01-23,29.9,62.0,658.0
colombo,2017-01-24,30.6,58.0,748.0
colombo,2017-01-25,28.8,71.0,598.0
colombo,2017-01-26,29.5,71.0,707.0
colombo,2017-01-27,27.8,78.0,562.0
colombo,2017-01-28,29.2,74.0,796.0
colombo,2017-01-29,30.0,68.0,827.0
colombo,2017-01-30,28.7,81.0,665.0
colombo,2017-01-31,29.3,70.0,925.0
colombo,2017-02-01,28.4,70.0,916.0
colombo,2017-02-02,30.1,48.0,878.0
colombo,2017-02-03,30.5,48.0,889.0
colombo,2017-02-04,30.5,47.0,865.0
colombo,2017-02-05,29.4,57.0,864.0
colombo,2017-02-06,28.8,65.0,935.0
colombo,2017-02-07,28.4,63.0,912.0
colombo,2017-02-08,28.5,63.0,761.0
colombo,2017-02-09,28.7,63.0,927.0
